country,region
Norway,Nordic
Sweden,Nordic
Denmark,Nordic
Finland,Nordic
Iceland,Nordic
United Kingdom,British Isles
Ireland,British Isles
France,Western Europe
Germany,Western Europe
Netherlands,Western Europe
Belgium,Western Europe
Luxembourg,Western Europe
Switzerland,Western Europe
Austria,Western Europe
Spain,Southern Europe
Portugal,Southern Europe
Italy,Southern Europe
Greece,Southern Europe
Malta,Southern Europe
Cyprus,Southern Europe
Poland,Eastern Europe
Czech Republic,Eastern Europe
Slovakia,Eastern Europe
Hungary,Eastern Europe
Romania,Eastern Europe
Bulgaria,Eastern Europe
Slovenia,Eastern Europe
Croatia,Eastern Europe
Serbia,Eastern Europe
Bosnia & Herzegovina,Eastern Europe
Montenegro,Eastern Europe
North Macedonia,Eastern Europe
Albania,Eastern Europe
Kosovo,Eastern Europe
Estonia,Eastern Europe
Latvia,Eastern Europe
Lithuania,Eastern Europe
T³rkiye,Southern Europe
Morocco,Southern Europe
